,FDX
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.31239848402815373
Growth 1yr High Est,-0.20376470588235285
Growth 1yr Consensus Est,-0.2580815949552533
Growth 2yr Low Est,-0.1601362498880926
Growth 2yr High Est,0.06448880545125857
Growth 2yr Consensus Est,-0.04782372221841702
Growth 5yr Low Est,-0.06559772701379736
Growth 5yr High Est,0.0921286060819766
Growth 5yr Consensus Est,0.013265439534089615
Growth 5yr Actual/Est,0.24984758634320017
Growth 3yr Historic,0.2617297164209368
