,FDX
Price/Earnings (TTM),12.99001
Price/Sales (TTM),0.48528
Price/Book (MRQ),1.82899
Price/Cash Flow (TTM),6.04057
5yr Low,88.69
5yr High,319.9
5yr Avg Return,0.019016666666666668
EPS Growth 5yr,0.053088699999999996
Revenue Growth 5yr,0.091648
Dividend Growth 5yr,0.1015137
Short Int Current Month,5565137.0
Short Int Prev Month,7883113.0
Short Int Pct of Float,0.023172
Days to Cover,1.70004
Float,240.31
Shares Outstanding,260.2198
Institutions Holding Shares,1861.0
% Held by Institutions,0.720284
FCF Growth 5yr,0.25200925147736
