,BNFT
% Below High,0.2057
% Held by Institutions,0.7176
52-Wk Range,['5.69 - 13.06']
Annual Dividend $,
Annual Dividend %,
Ask,10.54
Ask Size,1300.0
B/A Ratio,0.46153846153846156
B/A Size,600x1300
Beta,1.7
Bid,10.33
Bid Size,600.0
Closing Price,10.37
Day Change $,-0.01
Day Change %,-0.001
Day High,10.4
Day Low,10.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.73
Ex-dividend Date,No dividend
Historical Volatility,0.5860000000000001
Last (size),12.0
Last (time),12:59p ET 11/25/22
Market Cap,357.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,10.38
Shares Outstanding,34.4M
Short Interest,0.0225
Today's Open,10.38
Volume,187940.0
Volume 10-day Avg,980593.0
Volume Past Day,(Light)
