,BNFT
Price/Earnings (TTM),
Price/Sales (TTM),1.43289
Price/Book (MRQ),
Price/Cash Flow (TTM),205.375
5yr Low,5.69
5yr High,60.66
5yr Avg Return,-0.07286666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0215238
Dividend Growth 5yr,
Short Int Current Month,651312.0
Short Int Prev Month,1192329.0
Short Int Pct of Float,0.0225423
Days to Cover,0.17879
Float,30.60846
Shares Outstanding,34.42062
Institutions Holding Shares,131.0
% Held by Institutions,0.7175860000000001
FCF Growth 5yr,-0.5662093358982924
