,VSCO
% Below High,0.2979
% Held by Institutions,0.888
52-Wk Range,['26.14 - 65.20']
Annual Dividend $,
Annual Dividend %,
Ask,48.95
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,
Bid,36.0
Bid Size,300.0
Closing Price,45.78
Day Change $,-1.62
Day Change %,-0.0342
Day High,47.67
Day Low,45.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.28
Ex-dividend Date,No dividend
Historical Volatility,0.618
Last (size),12.0
Last (time),7:00p ET 11/28/22
Market Cap,3.7B
"P/E Ratio (TTM, GAAP)",8.99
Prev Close,47.4
Shares Outstanding,81.2M
Short Interest,0.0724
Today's Open,46.45
Volume,1258202.0
Volume 10-day Avg,871056.0
Volume Past Day,(Heavy Day)
