,VSCO
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.28253968253968254
Growth 1yr High Est,-0.33333333333333326
Growth 1yr Consensus Est,-0.3079365079365079
Growth 2yr Low Est,-0.12910169967692092
Growth 2yr High Est,-0.057613168724279795
Growth 2yr Consensus Est,-0.09335743420060036
Growth 5yr Low Est,-0.12910169967692092
Growth 5yr High Est,-0.057613168724279795
Growth 5yr Consensus Est,-0.09335743420060036
Growth 5yr Actual/Est,-0.113530360939184
Growth 3yr Historic,0.0
