,EQRX
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.19468
Price/Cash Flow (TTM),
5yr Low,2.63
5yr High,11.1
5yr Avg Return,-0.41595
Short Int Current Month,19887107.0
Short Int Prev Month,21193203.0
Short Int Pct of Float,0.0481947
Days to Cover,7.3228
Float,412.6408
Shares Outstanding,488.4334
Institutions Holding Shares,144.0
% Held by Institutions,0.751018
FCF Growth 5yr,0.33993135809272096
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
