,EQRX
% Above Low,0.3346
% Held by Institutions,0.7509999999999999
52-Wk Range,['2.63 - 9.99']
Annual Dividend $,
Annual Dividend %,
Ask,3.65
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,
Bid,1.4
Bid Size,200.0
Closing Price,3.51
Day Change $,0.02
Day Change %,0.005699999999999999
Day High,3.63
Day Low,3.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.31
Ex-dividend Date,No dividend
Historical Volatility,1.073
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,3.49
Shares Outstanding,488.4M
Short Interest,0.0482
Today's Open,3.45
Volume,835243.0
Volume 10-day Avg,3330526.0
Volume Past Day,(Light)
