,GL
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.17690058479532178
Growth 1yr High Est,0.1673819742489271
Growth 1yr Consensus Est,0.17214127952212444
Growth 2yr Low Est,0.15987886382623218
Growth 2yr High Est,0.23932824202642422
Growth 2yr Consensus Est,0.1996035529263282
Growth 5yr Low Est,0.08291614573535513
Growth 5yr High Est,0.12660803494242018
Growth 5yr Consensus Est,0.10476209033888766
Growth 5yr Actual/Est,0.09217494965194764
Growth 3yr Historic,0.004088070628768342
