,ULH
Price/Earnings (TTM),6.44383
Price/Sales (TTM),0.47658
Price/Book (MRQ),2.32445
Price/Cash Flow (TTM),4.28014
5yr Low,11.02
5yr High,40.76
5yr Avg Return,0.13575
EPS Growth 5yr,0.26259730000000003
Revenue Growth 5yr,0.10295159999999999
Dividend Growth 5yr,0.0844718
Short Int Current Month,216335.0
Short Int Prev Month,242423.0
Short Int Pct of Float,0.0309655
Days to Cover,3.17831
Float,6.98654
Shares Outstanding,26.27755
Institutions Holding Shares,137.0
% Held by Institutions,0.236985
FCF Growth 5yr,0.18073050150894165
