,ULH
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,1.4615384615384617
Growth 1yr High Est,1.4253731343283582
Growth 1yr Consensus Est,1.44345579793341
Growth 2yr Low Est,0.6604567307692308
Growth 2yr High Est,0.6742250287026407
Growth 2yr Consensus Est,0.6673408797359357
Growth 5yr Low Est,0.6604567307692308
Growth 5yr High Est,0.6742250287026407
Growth 5yr Consensus Est,0.6673408797359357
Growth 5yr Actual/Est,0.5282928796022632
Growth 3yr Historic,0.21692101291296328
