,FYBR
% Above Low,0.22829999999999998
% Held by Institutions,1.0164
52-Wk Range,['20.83 - 35.15']
Annual Dividend $,
Annual Dividend %,
Ask,26.75
Ask Size,1500.0
B/A Ratio,0.13333333333333333
B/A Size,200x1500
Beta,
Bid,17.78
Bid Size,200.0
Closing Price,25.58
Day Change $,0.59
Day Change %,0.0236
Day High,25.67
Day Low,24.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.93
Ex-dividend Date,No dividend
Historical Volatility,0.433
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,6.3B
"P/E Ratio (TTM, GAAP)",13.23
Prev Close,24.99
Shares Outstanding,245.0M
Short Interest,0.07139999999999999
Today's Open,24.83
Volume,279683.0
Volume 10-day Avg,1111353.0
Volume Past Day,(Light)
