,NUVA
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.9801980198019802
Growth 1yr High Est,0.6030534351145038
Growth 1yr Consensus Est,0.791625727458242
Growth 2yr Low Est,0.5000990099009901
Growth 2yr High Est,0.41581243184296623
Growth 2yr Consensus Est,0.45795572087197817
Growth 5yr Low Est,0.10749631346113336
Growth 5yr High Est,0.09379833210405572
Growth 5yr Consensus Est,0.10064732278259456
Growth 5yr Actual/Est,0.05041758216649472
Growth 3yr Historic,-0.034042658240347634
