,CCBG
Price/Earnings (TTM),17.32512
Price/Sales (TTM),2.88332
Price/Book (MRQ),1.57695
Price/Cash Flow (TTM),13.64223
5yr Low,15.61
5yr High,36.23
5yr Avg Return,0.08103333333333333
EPS Growth 5yr,0.2348675
Revenue Growth 5yr,0.055568299999999994
Dividend Growth 5yr,0.2953542
Short Int Current Month,119784.0
Short Int Prev Month,151789.0
Short Int Pct of Float,0.0092826
Days to Cover,4.70239
Float,12.90162
Shares Outstanding,16.95928
Institutions Holding Shares,141.0
% Held by Institutions,0.446726
FCF Growth 5yr,0.29136761622888147
