,CCBG
% Below High,0.0174
% Held by Institutions,0.44670000000000004
52-Wk Range,['24.43 - 36.23']
Annual Dividend $,0.68
Annual Dividend %,0.0191
Ask,55.68
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,14.2
Bid Size,200.0
Closing Price,35.6
Day Change $,0.11
Day Change %,0.0031
Day High,35.8
Day Low,35.46
Dividend Pay Date,2022-12-19 00:00:00
"EPS (TTM, GAAP)",2.05
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.25
Last (size),6.0
Last (time),12:59p ET 11/25/22
Market Cap,603.8M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.33
Prev Close,35.49
Shares Outstanding,17.0M
Short Interest,0.009300000000000001
Today's Open,35.46
Volume,3208.0
Volume 10-day Avg,24346.0
Volume Past Day,(Light)
