,CCBG
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.17156862745098045
Growth 1yr High Est,0.06896551724137945
Growth 1yr Consensus Est,0.12026707234617995
Growth 2yr Low Est,0.269884732135532
Growth 2yr High Est,0.29053114571746397
Growth 2yr Consensus Est,0.280207938926498
Growth 5yr Low Est,0.1717538067457321
Growth 5yr High Est,0.21401557285873196
Growth 5yr Consensus Est,0.19288468980223203
Growth 5yr Actual/Est,0.17952913706512647
Growth 3yr Historic,0.04406464364608764
