,CNSL
Price/Earnings (TTM),
Price/Sales (TTM),0.44399
Price/Book (MRQ),0.76226
Price/Cash Flow (TTM),3.81437
5yr Low,3.24
5yr High,14.55
5yr Avg Return,-0.09108333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.11525690000000001
Dividend Growth 5yr,
Short Int Current Month,1912679.0
Short Int Prev Month,2508450.0
Short Int Pct of Float,0.0259923
Days to Cover,7.29237
Float,112.9462
Shares Outstanding,115.3957
Institutions Holding Shares,207.0
% Held by Institutions,0.803747
FCF Growth 5yr,0.5004804648556072
