,CNSL
% Above Low,0.1418
% Held by Institutions,0.8037000000000001
52-Wk Range,['4.09 - 8.49']
Annual Dividend $,
Annual Dividend %,
Ask,4.77
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.1
Bid,4.27
Bid Size,1000.0
Closing Price,4.67
Day Change $,0.12
Day Change %,0.0264
Day High,4.71
Day Low,4.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.37
Ex-dividend Date,No dividend
Historical Volatility,0.55
Last (size),35.0
Last (time),12:59p ET 11/25/22
Market Cap,540.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.55
Shares Outstanding,115.4M
Short Interest,0.026000000000000002
Today's Open,4.56
Volume,69057.0
Volume 10-day Avg,268929.0
Volume Past Day,(Light)
