,ROKU
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,6.035714285714285
Growth 1yr High Est,6.744186046511628
Growth 1yr Consensus Est,6.389950166112957
Growth 2yr Low Est,3.2209028281363303
Growth 2yr High Est,2.975696626859418
Growth 2yr Consensus Est,3.0982997274978743
Growth 5yr Low Est,1.6104514140681652
Growth 5yr High Est,1.487848313429709
Growth 5yr Consensus Est,1.5491498637489372
Growth 5yr Actual/Est,-4.234801747959643
Growth 3yr Historic,-3.486263736263736
