,ROKU
Price/Earnings (TTM),
Price/Sales (TTM),2.49943
Price/Book (MRQ),2.81153
Price/Cash Flow (TTM),
5yr Low,26.3
5yr High,490.76
5yr Avg Return,0.5972666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.4730172
Dividend Growth 5yr,
Short Int Current Month,12264342.0
Short Int Prev Month,11130232.0
Short Int Pct of Float,0.1010118
Days to Cover,0.88283
Float,121.4676
Shares Outstanding,139.2695
Institutions Holding Shares,757.0
% Held by Institutions,0.731106
FCF Growth 5yr,-0.5886689176573919
