,ROKU
% Above Low,0.2208
% Held by Institutions,0.7311
52-Wk Range,['44.50 - 266.05']
Annual Dividend $,
Annual Dividend %,
Ask,54.35
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,54.3
Bid Size,100.0
Day Change $,-1.76
Day Change %,-0.0313
Day High,56.35
Day Low,54.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.73
Ex-dividend Date,No dividend
Historical Volatility,0.9259999999999999
Last (size),200.0
Last (time),1:09p ET 11/28/22
Market Cap,7.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,56.08
Price,54.33
Shares Outstanding,139.3M
Short Interest,0.10099999999999999
Today's Open,55.4
Volume Past Day,(Light)
