,VZ
% Above Low,0.1068
% Held by Institutions,0.6068
52-Wk Range,['34.55 - 55.51']
Annual Dividend $,2.61
Annual Dividend %,0.0669
Ask,38.31
Ask Size,300.0
B/A Ratio,7.0
B/A Size,2100x300
Beta,0.4
Bid,38.24
Bid Size,2100.0
Closing Price,38.24
Day Change $,-0.78
Day Change %,-0.02
Day High,39.09
Day Low,38.13
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",4.6
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.23
Last (size),10.0
Last (time),7:00p ET 11/28/22
Market Cap,160.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.48
Prev Close,39.02
Shares Outstanding,4.2B
Short Interest,0.008100000000000001
Today's Open,39.01
Volume,21563586.0
Volume 10-day Avg,18939365.0
Volume Past Day,(Above Average)
