,CBT
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.06209150326797386
Growth 1yr High Est,0.06451612903225801
Growth 1yr Consensus Est,0.06330381615011593
Growth 2yr Low Est,-0.10356963298139771
Growth 2yr High Est,0.11180351906158359
Growth 2yr Consensus Est,0.004116943040092941
Growth 5yr Low Est,0.013946775291313052
Growth 5yr High Est,0.15044327013346495
Growth 5yr Consensus Est,0.082195022712389
Growth 5yr Actual/Est,0.4356378276997303
Growth 3yr Historic,0.4161143885994484
