,CBT
% Below High,0.051500000000000004
% Held by Institutions,0.9652
52-Wk Range,['50.96 - 78.62']
Annual Dividend $,1.48
Annual Dividend %,0.019799999999999998
Ask,75.05
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.4
Bid,
Bid Size,
Closing Price,74.57
Day Change $,0.77
Day Change %,0.0104
Day High,74.98
Day Low,73.71
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",3.6
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.419
Last (size),26.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.73
Prev Close,73.8
Shares Outstanding,56.3M
Short Interest,0.0213
Today's Open,73.71
Volume,112600.0
Volume 10-day Avg,333175.0
Volume Past Day,(Light)
