,CBT
Price/Earnings (TTM),20.73364
Price/Sales (TTM),0.9721
Price/Book (MRQ),4.67089
Price/Cash Flow (TTM),11.11228
5yr Low,20.0
5yr High,78.62
5yr Avg Return,0.054450000000000005
EPS Growth 5yr,-0.0159489
Revenue Growth 5yr,0.09723319999999999
Dividend Growth 5yr,0.037698800000000005
Short Int Current Month,1187775.0
Short Int Prev Month,1431245.0
Short Int Pct of Float,0.0212933
Days to Cover,3.21824
Float,55.9163
Shares Outstanding,56.32884
Institutions Holding Shares,396.0
% Held by Institutions,0.965237
FCF Growth 5yr,0.13960399656602193
