,AGIO
Price/Earnings (TTM),
Price/Sales (TTM),160.4633
Price/Book (MRQ),1.51588
Price/Cash Flow (TTM),
5yr Low,16.75
5yr High,99.82
5yr Avg Return,-0.11193333333333333
Short Int Current Month,6310150.0
Short Int Prev Month,6382454.0
Short Int Pct of Float,0.1163629
Days to Cover,11.98928
Float,54.2289
Shares Outstanding,54.94486
Institutions Holding Shares,242.0
% Held by Institutions,1.0343980000000002
FCF Growth 5yr,0.13271908304631916
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
