,AGIO
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.3640000000000001
Growth 1yr High Est,0.4364896073903002
Growth 1yr Consensus Est,0.40024480369515014
Growth 2yr Low Est,0.2890381231671554
Growth 2yr High Est,0.1989521991935424
Growth 2yr Consensus Est,0.2439951611803489
Growth 5yr Low Est,0.06458708879446204
Growth 5yr High Est,0.01349125111192273
Growth 5yr Consensus Est,0.039039169953192385
Growth 5yr Actual/Est,-2.034900192790522
Growth 3yr Historic,-1.7275759309148613
