,AGIO
% Below High,0.23079999999999998
% Held by Institutions,1.0344
52-Wk Range,['16.75 - 37.70']
Annual Dividend $,
Annual Dividend %,
Ask,35.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,17.0
Bid Size,100.0
Closing Price,29.0
Day Change $,0.17
Day Change %,0.0059
Day High,29.09
Day Low,28.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.72
Ex-dividend Date,No dividend
Historical Volatility,0.6859999999999999
Last (size),26.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,28.83
Shares Outstanding,54.9M
Short Interest,0.1164
Today's Open,28.55
Volume,122050.0
Volume 10-day Avg,421812.0
Volume Past Day,(Light)
