,SEM
Price/Earnings (TTM),17.31701
Price/Sales (TTM),0.48766
Price/Book (MRQ),2.78762
Price/Cash Flow (TTM),7.12278
5yr Low,10.0
5yr High,43.6
5yr Avg Return,0.07483333333333335
EPS Growth 5yr,0.2783505
Revenue Growth 5yr,0.08026770000000001
Dividend Growth 5yr,
Short Int Current Month,8390511.0
Short Int Prev Month,7558739.0
Short Int Pct of Float,0.0823001
Days to Cover,8.57132
Float,102.8918
Shares Outstanding,126.9836
Institutions Holding Shares,305.0
% Held by Institutions,0.806157
FCF Growth 5yr,-1.2159232207295336
