,SEM
% Above Low,0.24760000000000001
% Held by Institutions,0.8062
52-Wk Range,['18.86 - 30.92']
Annual Dividend $,0.5
Annual Dividend %,0.0206
Ask,23.56
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,1.4
Bid,23.5
Bid Size,300.0
Day Change $,-0.71
Day Change %,-0.029300000000000003
Day High,24.02
Day Low,23.47
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",1.4
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.47100000000000003
Last (size),100.0
Last (time),1:58p ET 11/28/22
Market Cap,3.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",17.32
Prev Close,24.24
Price,23.53
Shares Outstanding,127.0M
Short Interest,0.0823
Today's Open,24.0
Volume Past Day,(Light)
