,MEG
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.28395061728395077
Growth 2yr High Est,-0.6976744186046512
Growth 2yr Consensus Est,-0.490812517944301
Growth 5yr Low Est,-0.28395061728395077
Growth 5yr High Est,-0.6976744186046512
Growth 5yr Consensus Est,-0.490812517944301
Growth 5yr Actual/Est,-0.4111995284409078
Growth 3yr Historic,-0.2436781609195402
