,MEG
Price/Earnings (TTM),
Price/Sales (TTM),2.50983
Price/Book (MRQ),4.35193
Price/Cash Flow (TTM),157.4584
5yr Low,16.41
5yr High,80.42
5yr Avg Return,0.601
Short Int Current Month,1488922.0
Short Int Prev Month,1572900.0
Short Int Pct of Float,0.0546417
Days to Cover,11.38233
Float,27.24883
Shares Outstanding,29.71157
Institutions Holding Shares,194.0
% Held by Institutions,0.959393
FCF Growth 5yr,-1.208354197030661
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
