,MEG
% Above Low,0.6343
% Held by Institutions,0.9594
52-Wk Range,['28.36 - 75.50']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,30.21
Bid Size,
Closing Price,46.35
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.31
Ex-dividend Date,No dividend
Historical Volatility,0.613
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,46.35
Shares Outstanding,29.7M
Short Interest,0.0546
Today's Open,
Volume,30423.0
Volume 10-day Avg,107556.0
Volume Past Day,(Light)
