,AOSL
% Above Low,0.2893
% Held by Institutions,0.6775
52-Wk Range,['27.38 - 69.99']
Annual Dividend $,
Annual Dividend %,
Ask,35.76
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.4
Bid,34.84
Bid Size,100.0
Closing Price,35.3
Day Change $,-0.61
Day Change %,-0.017
Day High,35.7
Day Low,35.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",16.07
Ex-dividend Date,No dividend
Historical Volatility,0.7809999999999999
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,965.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",2.2
Prev Close,35.91
Shares Outstanding,27.4M
Short Interest,0.1023
Today's Open,35.53
Volume,76746.0
Volume 10-day Avg,203420.0
Volume Past Day,(Light)
