,ACMR
Price/Earnings (TTM),17.70583
Price/Sales (TTM),1.36681
Price/Book (MRQ),0.8663
Price/Cash Flow (TTM),16.43055
5yr Low,1.58
5yr High,48.27
5yr Avg Return,0.7052166666666666
EPS Growth 5yr,0.6837291999999999
Revenue Growth 5yr,0.5683872999999999
Dividend Growth 5yr,
Short Int Current Month,3513923.0
Short Int Prev Month,4262691.0
Short Int Pct of Float,0.0789374
Days to Cover,2.49379
Float,39.57402
Shares Outstanding,59.46033
Institutions Holding Shares,167.0
% Held by Institutions,0.517684
FCF Growth 5yr,-0.032980410447761205
