,ACMR
% Above Low,0.5806
% Held by Institutions,0.5177
52-Wk Range,['5.46 - 30.53']
Annual Dividend $,
Annual Dividend %,
Ask,8.95
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,8.2
Bid Size,100.0
Closing Price,8.63
Day Change $,-0.04
Day Change %,-0.0046
Day High,8.72
Day Low,8.46
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.49
Ex-dividend Date,No dividend
Historical Volatility,0.935
Last (size),20.0
Last (time),12:59p ET 11/25/22
Market Cap,511.4M
"P/E Ratio (TTM, GAAP)",17.71
Prev Close,8.67
Shares Outstanding,59.5M
Short Interest,0.0789
Today's Open,8.61
Volume,142487.0
Volume 10-day Avg,700981.0
Volume Past Day,(Light)
