,HRMY
Price/Earnings (TTM),22.75238
Price/Sales (TTM),8.59806
Price/Book (MRQ),10.01789
Price/Cash Flow (TTM),19.38541
5yr Low,25.09
5yr High,61.55
5yr Avg Return,0.13506666666666667
Short Int Current Month,5670819.0
Short Int Prev Month,5770603.0
Short Int Pct of Float,0.0999216
Days to Cover,7.53006
Float,58.29015
Shares Outstanding,59.31755
Institutions Holding Shares,281.0
% Held by Institutions,0.92065
FCF Growth 5yr,1.6230689507023113
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
