,HRMY
% Below High,0.0562
% Held by Institutions,0.9207
52-Wk Range,['31.54 - 61.55']
Annual Dividend $,
Annual Dividend %,
Ask,58.45
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,57.73
Bid Size,100.0
Closing Price,58.09
Day Change $,0.59
Day Change %,0.0103
Day High,58.87
Day Low,57.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.55
Ex-dividend Date,No dividend
Historical Volatility,0.534
Last (size),12.0
Last (time),1:00p ET 11/25/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",22.75
Prev Close,57.5
Shares Outstanding,59.3M
Short Interest,0.0999
Today's Open,57.58
Volume,87684.0
Volume 10-day Avg,431092.0
Volume Past Day,(Light)
