,DFH
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,2.026315789473684
Growth 1yr High Est,1.8222222222222224
Growth 1yr Consensus Est,1.9242690058479532
Growth 2yr Low Est,0.6631578947368421
Growth 2yr High Est,0.7989063867016624
Growth 2yr Consensus Est,0.7310321407192522
Growth 5yr Low Est,0.4421052631578947
Growth 5yr High Est,0.5326042578011082
Growth 5yr Consensus Est,0.48735476047950144
Growth 5yr Actual/Est,0.37042775238318487
Growth 3yr Historic,0.20675105485232068
