,DFH
% Above Low,0.1261
% Held by Institutions,0.5965
52-Wk Range,['8.77 - 23.09']
Annual Dividend $,
Annual Dividend %,
Ask,26.9
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,
Bid,8.5
Bid Size,100.0
Closing Price,9.87
Day Change $,0.21
Day Change %,0.0217
Day High,9.94
Day Low,9.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.06
Ex-dividend Date,No dividend
Historical Volatility,0.545
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,921.6M
"P/E Ratio (TTM, GAAP)",4.8
Prev Close,9.66
Shares Outstanding,92.8M
Short Interest,0.2238
Today's Open,9.66
Volume,51188.0
Volume 10-day Avg,147182.0
Volume Past Day,(Light)
