,DFH
Price/Earnings (TTM),4.79573
Price/Sales (TTM),0.29582
Price/Book (MRQ),1.67365
Price/Cash Flow (TTM),3.59235
5yr Low,8.77
5yr High,36.6
5yr Avg Return,-0.24965
Short Int Current Month,4837439.0
Short Int Prev Month,4900725.0
Short Int Pct of Float,0.22377210000000003
Days to Cover,30.35408
Float,21.618
Shares Outstanding,92.76001
Institutions Holding Shares,129.0
% Held by Institutions,0.596471
FCF Growth 5yr,-0.6367194102048547
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
