,D
% Above Low,0.0618
% Held by Institutions,0.7012999999999999
52-Wk Range,['57.95 - 88.78']
Annual Dividend $,2.67
Annual Dividend %,0.0434
Ask,65.47
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,61.51
Bid Size,100.0
Closing Price,61.53
Day Change $,0.5
Day Change %,0.008199999999999999
Day High,61.97
Day Low,61.25
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",2.11
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.242
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,51.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",29.1
Prev Close,61.03
Shares Outstanding,833.3M
Short Interest,0.008199999999999999
Today's Open,61.39
Volume,1702092.0
Volume 10-day Avg,5900916.0
Volume Past Day,(Light)
