,D
Price/Earnings (TTM),29.09564
Price/Sales (TTM),3.17647
Price/Book (MRQ),1.91319
Price/Cash Flow (TTM),10.69046
5yr Low,57.79
5yr High,90.89
5yr Avg Return,-0.04136666666666667
EPS Growth 5yr,-0.0159271
Revenue Growth 5yr,0.035358
Dividend Growth 5yr,-0.0208516
Short Int Current Month,6847830.0
Short Int Prev Month,7967181.0
Short Int Pct of Float,0.0082301
Days to Cover,0.80313
Float,832.1233
Shares Outstanding,833.2752
Institutions Holding Shares,1768.0
% Held by Institutions,0.7012999999999999
FCF Growth 5yr,0.7951569343692123
