,FOXF
% Above Low,0.5344
% Held by Institutions,1.0254
52-Wk Range,['69.28 - 188.48']
Annual Dividend $,
Annual Dividend %,
Ask,166.1
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,43.61
Bid Size,100.0
Closing Price,106.3
Day Change $,0.32
Day Change %,0.003
Day High,106.79
Day Low,105.09
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.48
Ex-dividend Date,No dividend
Historical Volatility,0.527
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.7
Prev Close,105.98
Shares Outstanding,42.3M
Short Interest,0.057300000000000004
Today's Open,105.09
Volume,42556.0
Volume 10-day Avg,224585.0
Volume Past Day,(Light)
