,FOXF
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.17913832199546476
Growth 1yr High Est,0.17582417582417587
Growth 1yr Consensus Est,0.1774812489098203
Growth 2yr Low Est,0.11553069945927075
Growth 2yr High Est,0.14865975146348986
Growth 2yr Consensus Est,0.1320952254613803
Growth 5yr Low Est,0.21164853329831318
Growth 5yr High Est,0.23385142800073744
Growth 5yr Consensus Est,0.2227499806495253
Growth 5yr Actual/Est,0.21864863514340044
Growth 3yr Historic,0.14977977577169477
