,FOXF
Price/Earnings (TTM),23.70207
Price/Sales (TTM),2.92481
Price/Book (MRQ),4.25821
Price/Cash Flow (TTM),18.74784
5yr Low,33.2
5yr High,190.29
5yr Avg Return,0.2433833333333334
EPS Growth 5yr,0.32585630000000004
Revenue Growth 5yr,0.2637132
Dividend Growth 5yr,
Short Int Current Month,2419868.0
Short Int Prev Month,2359353.0
Short Int Pct of Float,0.057333999999999996
Days to Cover,8.36011
Float,42.19936
Shares Outstanding,42.26746
Institutions Holding Shares,373.0
% Held by Institutions,1.02544
FCF Growth 5yr,-5.665390564361547
