,PTVE
% Below High,0.16399999999999998
% Held by Institutions,0.2213
52-Wk Range,['8.31 - 13.87']
Annual Dividend $,0.4
Annual Dividend %,0.034300000000000004
Ask,11.62
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,
Bid,11.57
Bid Size,300.0
Day Change $,-0.055
Day Change %,-0.004699999999999999
Day High,11.65
Day Low,11.41
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.85
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.425
Last (size),100.0
Last (time),11:51a ET 11/28/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",13.75
Prev Close,11.65
Price,11.6
Shares Outstanding,177.8M
Short Interest,0.0435
Today's Open,11.51
Volume Past Day,(Light)
