,PTVE
Price/Earnings (TTM),13.75427
Price/Sales (TTM),0.34204
Price/Book (MRQ),1.63813
Price/Cash Flow (TTM),4.00659
5yr Low,8.31
5yr High,19.61
5yr Avg Return,0.025466666666666683
EPS Growth 5yr,-0.4033788
Revenue Growth 5yr,-0.1257521
Dividend Growth 5yr,
Short Int Current Month,1688957.0
Short Int Prev Month,1881052.0
Short Int Pct of Float,0.0434816
Days to Cover,7.20954
Float,38.84306
Shares Outstanding,177.8031
Institutions Holding Shares,171.0
% Held by Institutions,0.22128699999999998
FCF Growth 5yr,-1.0857142857142859
