,DIOD
Price/Earnings (TTM),13.4828
Price/Sales (TTM),2.04421
Price/Book (MRQ),2.31285
Price/Cash Flow (TTM),9.30091
5yr Low,26.09
5yr High,113.98
5yr Avg Return,0.23553333333333326
EPS Growth 5yr,0.7325929999999999
Revenue Growth 5yr,0.13888040000000001
Dividend Growth 5yr,
Short Int Current Month,1311875.0
Short Int Prev Month,1587843.0
Short Int Pct of Float,0.0294739
Days to Cover,5.21685
Float,44.59664
Shares Outstanding,45.46971
Institutions Holding Shares,392.0
% Held by Institutions,0.990012
FCF Growth 5yr,0.4348948414335432
