,SMG
% Above Low,0.38420000000000004
% Held by Institutions,0.6574
52-Wk Range,['39.06 - 167.09']
Annual Dividend $,2.64
Annual Dividend %,0.0475
Ask,54.05
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,53.98
Bid Size,100.0
Day Change $,-1.49
Day Change %,-0.0268
Day High,55.5
Day Low,53.63
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",-7.94
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.5529999999999999
Last (size),187.0
Last (time),2:39p ET 11/28/22
Market Cap,3.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,55.55
Price,54.06
Shares Outstanding,55.4M
Short Interest,0.0935
Today's Open,54.7
Volume Past Day,(Average)
