,SMG
Price/Earnings (TTM),
Price/Sales (TTM),0.78433
Price/Book (MRQ),20.83808
Price/Cash Flow (TTM),
5yr Low,39.06
5yr High,254.34
5yr Avg Return,0.06753333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0823262
Dividend Growth 5yr,0.0539538
Short Int Current Month,3757916.0
Short Int Prev Month,3567592.0
Short Int Pct of Float,0.09346170000000001
Days to Cover,3.06643
Float,40.13267
Shares Outstanding,55.40565
Institutions Holding Shares,502.0
% Held by Institutions,0.65738
FCF Growth 5yr,-0.18432509972174915
