,SMG
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.125
Growth 1yr High Est,0.030660377358490587
Growth 1yr Consensus Est,-0.047169811320754707
Growth 2yr Low Est,0.008928571428571397
Growth 2yr High Est,0.21098236259228875
Growth 2yr Consensus Est,0.10995546701043007
Growth 5yr Low Est,-0.05595744988993162
Growth 5yr High Est,0.037962826604731825
Growth 5yr Consensus Est,-0.008997311642599898
Growth 5yr Actual/Est,-0.029795104027780156
Growth 3yr Historic,-0.07023360947666446
