,AZEK
Price/Earnings (TTM),24.42007
Price/Sales (TTM),2.02225
Price/Book (MRQ),1.92459
Price/Cash Flow (TTM),12.06823
5yr Low,15.12
5yr High,51.32
5yr Avg Return,0.00173333333333332
Short Int Current Month,5375654.0
Short Int Prev Month,5355138.0
Short Int Pct of Float,0.0364425
Days to Cover,3.1453
Float,147.5716
Shares Outstanding,152.1397
Institutions Holding Shares,309.0
% Held by Institutions,1.006173
FCF Growth 5yr,-1.2161784931618107
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
