,AZEK
% Above Low,0.22820000000000001
% Held by Institutions,1.0062
52-Wk Range,['15.12 - 46.56']
Annual Dividend $,
Annual Dividend %,
Ask,19.66
Ask Size,2000.0
B/A Ratio,0.05
B/A Size,100x2000
Beta,
Bid,12.5
Bid Size,100.0
Closing Price,18.57
Day Change $,-0.19
Day Change %,-0.0101
Day High,18.81
Day Low,18.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.76
Ex-dividend Date,No dividend
Historical Volatility,0.6409999999999999
Last (size),19.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",24.42
Prev Close,18.76
Shares Outstanding,152.1M
Short Interest,0.0364
Today's Open,18.72
Volume,344296.0
Volume 10-day Avg,1421517.0
Volume Past Day,(Light)
