,AZEK
Next Earnings Announcement,2022-11-28 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.04395604395604402
Growth 1yr High Est,0.030927835051546504
Growth 1yr Consensus Est,-0.006514104452248759
Growth 2yr Low Est,-0.30933434381710245
Growth 2yr High Est,0.0804639175257732
Growth 2yr Consensus Est,-0.11443521314566463
Growth 5yr Low Est,-0.30933434381710245
Growth 5yr High Est,0.0804639175257732
Growth 5yr Consensus Est,-0.11443521314566463
Growth 5yr Actual/Est,0.19631906580559888
Growth 3yr Historic,0.22033898305084745
