,BV
% Above Low,0.0738
% Held by Institutions,0.9470999999999999
52-Wk Range,['6.91 - 15.33']
Annual Dividend $,
Annual Dividend %,
Ask,7.57
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,6.84
Bid Size,200.0
Closing Price,7.42
Day Change $,0.24
Day Change %,0.0334
Day High,7.46
Day Low,7.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.18
Ex-dividend Date,No dividend
Historical Volatility,0.44200000000000006
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,688.2M
"P/E Ratio (TTM, GAAP)",40.78
Prev Close,7.18
Shares Outstanding,93.0M
Short Interest,0.0384
Today's Open,7.18
Volume,91973.0
Volume 10-day Avg,280569.0
Volume Past Day,(Light)
