,HAE
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.1279999999999999
Growth 1yr High Est,0.16862745098039222
Growth 1yr Consensus Est,0.14831372549019606
Growth 2yr Low Est,0.07109219858156024
Growth 2yr High Est,0.13464929595999475
Growth 2yr Consensus Est,0.1028707472707775
Growth 5yr Low Est,-0.02448429584599801
Growth 5yr High Est,0.00593411543561867
Growth 5yr Consensus Est,-0.00927509020518967
Growth 5yr Actual/Est,0.00283762006495053
Growth 3yr Historic,-0.048039467763707655
