,HAE
% Below High,0.0338
% Held by Institutions,1.0247
52-Wk Range,['43.50 - 86.48']
Annual Dividend $,
Annual Dividend %,
Ask,100.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,72.0
Bid Size,100.0
Closing Price,83.56
Day Change $,-0.57
Day Change %,-0.0068000000000000005
Day High,84.71
Day Low,83.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.67
Ex-dividend Date,No dividend
Historical Volatility,0.414
Last (size),24.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",50.02
Prev Close,84.13
Shares Outstanding,50.6M
Short Interest,0.0245
Today's Open,84.22
Volume,106892.0
Volume 10-day Avg,515209.0
Volume Past Day,(Light)
