,HAE
Price/Earnings (TTM),50.01586
Price/Sales (TTM),3.90217
Price/Book (MRQ),5.80047
Price/Cash Flow (TTM),23.34954
5yr Low,43.5
5yr High,142.11
5yr Avg Return,0.13373333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.0230783
Dividend Growth 5yr,
Short Int Current Month,1233349.0
Short Int Prev Month,1672966.0
Short Int Pct of Float,0.024539
Days to Cover,2.01253
Float,50.26996
Shares Outstanding,50.60836
Institutions Holding Shares,353.0
% Held by Institutions,1.024716
FCF Growth 5yr,-4.9935928596605175
