,AXP
% Above Low,0.17989999999999998
% Held by Institutions,0.846
52-Wk Range,['130.65 - 199.55']
Annual Dividend $,2.08
Annual Dividend %,0.013500000000000002
Ask,154.5
Ask Size,1000.0
B/A Ratio,0.5
B/A Size,500x1000
Beta,1.1
Bid,153.81
Bid Size,500.0
Closing Price,154.15
Day Change $,0.22
Day Change %,0.0014000000000000002
Day High,154.47
Day Low,153.17
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",9.95
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.37200000000000005
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,115.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.49
Prev Close,153.93
Shares Outstanding,747.2M
Short Interest,0.009300000000000001
Today's Open,153.52
Volume,665794.0
Volume 10-day Avg,2657729.0
Volume Past Day,(Light)
