,AXP
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,0.023605150214592197
Growth 1yr High Est,0.03438113948919441
Growth 1yr Consensus Est,0.028993144851893304
Growth 2yr Low Est,-0.12446576870821746
Growth 2yr High Est,0.07037195625931714
Growth 2yr Consensus Est,-0.027046906224450162
Growth 5yr Low Est,-0.019886585734284368
Growth 5yr High Est,0.09329735827493701
Growth 5yr Consensus Est,0.03670538627032632
Growth 5yr Actual/Est,0.29295849278782604
Growth 3yr Historic,0.27939525781199454
