,AXP
Price/Earnings (TTM),15.48842
Price/Sales (TTM),2.22874
Price/Book (MRQ),4.80994
Price/Cash Flow (TTM),12.49847
5yr Low,67.0
5yr High,199.55
5yr Avg Return,0.09936666666666667
EPS Growth 5yr,0.12275280000000001
Revenue Growth 5yr,0.0351863
Dividend Growth 5yr,0.076456
Short Int Current Month,6914187.0
Short Int Prev Month,7431771.0
Short Int Pct of Float,0.0092684
Days to Cover,2.05557
Float,743.6664
Shares Outstanding,747.2327
Institutions Holding Shares,2465.0
% Held by Institutions,0.845984
FCF Growth 5yr,0.3108559447960327
