,INDB
% Below High,0.0060999999999999995
% Held by Institutions,0.8331999999999999
52-Wk Range,['74.28 - 89.46']
Annual Dividend $,2.04
Annual Dividend %,0.0229
Ask,142.32
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,35.58
Bid Size,200.0
Closing Price,88.91
Day Change $,0.97
Day Change %,0.011000000000000001
Day High,89.13
Day Low,87.57
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",4.05
Ex-dividend,2022-09-23 00:00:00
Ex-dividend Date,09/23/22
Historical Volatility,0.254
Last (size),22.0
Last (time),1:00p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.93
Prev Close,87.94
Shares Outstanding,45.6M
Short Interest,0.0217
Today's Open,88.37
Volume,62751.0
Volume 10-day Avg,143076.0
Volume Past Day,(Light)
