,INDB
Price/Earnings (TTM),21.93207
Price/Sales (TTM),5.97679
Price/Book (MRQ),1.44021
Price/Cash Flow (TTM),17.93709
5yr Low,49.25
5yr High,99.85
5yr Avg Return,0.03916666666666666
EPS Growth 5yr,0.0366189
Revenue Growth 5yr,0.10982810000000001
Dividend Growth 5yr,0.1095197
Short Int Current Month,979401.0
Short Int Prev Month,1019216.0
Short Int Pct of Float,0.021691
Days to Cover,6.25464
Float,45.17735
Shares Outstanding,45.64225
Institutions Holding Shares,322.0
% Held by Institutions,0.83315
FCF Growth 5yr,0.5174642351112939
